lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.05138,-34.94769,-93.5428571428572,-93.71142857142858,-96.82,-78.27,-87.705,-95.03,-93.39,-99.818,-97.6,4,2,5,8452
-8.05418,-34.955940000000005,-90.8004761904762,-97.3871428571429,-90.2257142857143,-101.954166666667,-101.5175,-96.5942857142857,-81.3,-81.3505714285714,-94.22,5,5,1,7583
-8.05071,-34.950559999999996,-93.95,-88.52,-93.36142857142859,-89.1066666666667,-88.59,-85.52,-92.64,-94.976,-96.5925,4,3,4,8624
-8.051969999999999,-34.94766,-92.9357142857143,-94.70857142857142,-91.63142857142859,-54.83,-76.45,-76.15,-91.0716666666667,-98.04799999999999,-97.6,5,1,5,8153
-8.04759,-34.9476,-97.34,-83.69285714285719,-94.23857142857142,-89.26,-98.8375,-93.33,-99.5066666666667,-100.936,-94.4075,3,3,6,9429
-8.04645,-34.94865,-93.77285714285709,-78.92142857142859,-105.69,-97.6,-100.9825,-97.39,-95.4916666666667,-101.288,-94.4075,2,4,6,9620
-8.05161,-34.94979,-87.58,-92.50714285714291,-92.9828571428571,-73.69,-75.57,-89.2,-93.4316666666667,-95.75399999999999,-97.2725,4,2,4,8360
-8.05166,-34.94781,-96.34,-91.13142857142859,-92.60285714285709,-67.0,-87.23,-87.58,-91.925,-97.92399999999999,-97.6,4,2,5,8342
-8.05247,-34.94845,-89.13142857142859,-86.97285714285721,-89.54857142857142,-60.52,-79.275,-81.51,-86.94,-95.83,-97.255,5,2,5,7916
-8.05215,-34.94826,-85.83142857142859,-83.84,-89.62,-62.22,-77.925,-81.8271428571428,-88.9766666666667,-92.28399999999999,-97.6,4,2,5,8050
-8.05348,-34.9465,-85.99,-86.71142857142858,-84.4657142857143,-65.92,-70.9175,-91.99,-90.685,-86.816,-97.255,5,1,5,7724
-8.049560000000001,-34.95043,-91.8642857142857,-105.43,-92.51428571428569,-94.46,-96.0925,-95.3357142857143,-107.6,-96.742,-96.7925,3,3,4,8908
-8.05233,-34.94834,-90.43,-86.97285714285721,-89.5042857142857,-64.54,-78.5975,-75.98,-87.08,-93.01,-97.255,5,2,5,7944
-8.04809,-34.94749,-94.83,-86.7,-95.19,-94.76,-97.685,-100.962857142857,-106.07,-102.064,-94.6125,3,3,6,9354
-8.0483,-34.95906,-75.95,-90.59714285714291,-80.4314285714286,-96.4233333333333,-96.345625,-96.6567857142857,-84.17,-106.544,-90.02,4,7,3,9286
-8.046439999999999,-34.94916,-93.97,-78.14,-87.84,-87.4,-96.225,-100.05,-90.9733333333333,-101.42399999999999,-94.4075,2,4,6,9632
-8.04926,-34.956070000000004,-76.14,-95.2228571428571,-87.51,-98.6366666666667,-96.53,-94.17,-86.1466666666667,-102.22866666666701,-90.02,3,6,3,8984
-8.05551,-34.95564,-94.4742857142857,-98.56857142857142,-93.5757142857143,-97.0833333333333,-89.4,-97.29,-73.0316666666667,-70.428,-87.91,6,5,1,7124
-8.051910000000001,-34.946020000000004,-91.1428571428571,-96.3,-98.32,-45.02,-75.545,-84.71,-90.655,-91.772,-97.6,5,1,6,8205
-8.05081,-34.959740000000004,-101.63,-95.00714285714291,-93.65,-99.26,-93.9625,-86.95,-90.1316666666667,-102.204,-89.02,5,7,2,8604
-8.050469999999999,-34.95425,-83.765,-98.4607142857143,-82.51,-99.63,-97.775,-91.4066666666667,-85.68,-97.054,-100.835,3,5,3,8703
-8.04734,-34.94757,-98.0257142857143,-85.2171428571429,-97.0857142857143,-92.26,-98.8375,-99.2328571428571,-99.6416666666667,-102.212,-94.4075,3,3,6,9464
-8.05039,-34.954840000000004,-82.28142857142859,-99.0082142857143,-81.96,-99.9291666666667,-98.14875,-90.30785714285709,-85.47388888888891,-100.24066666666701,-95.1425,4,5,3,8739
-8.05382,-34.94919,-90.82,-89.4,-90.3,-72.73,-78.7925,-80.82,-88.4983333333333,-82.22,-96.72,5,2,4,7651
-8.0527,-34.95551,-88.17,-96.56,-90.4107142857143,-98.33,-96.1425,-93.7757142857143,-64.44,-86.88,-79.46,5,5,2,7868
-8.054780000000001,-34.95365,-89.80285714285709,-95.29142857142858,-87.76428571428569,-96.5316666666667,-90.27,-90.31571428571431,-92.7,-91.83,-96.49,5,4,2,7421
-8.05512,-34.952870000000004,-93.37285714285721,-95.10285714285709,-94.57285714285709,-97.78,-93.69,-89.45,-84.1916666666667,-81.104,-98.4225,6,4,2,7370
